Timestamp,Heart_Rate,SARIMA_Baseline_HR,Steps
2016-04-11 10:45:00,81.1168783068783,0.0,49.18333333333333
2016-04-11 11:00:00,122.95739981739702,85.93725250829607,41.71666666666667
2016-04-11 11:15:00,123.05162555043242,124.18654193129463,41.71666666666667
2016-04-11 11:30:00,100.28854497354497,119.39783672957554,41.71666666666667
2016-04-11 11:45:00,97.69158008658009,97.57491180494586,41.71666666666667
2016-04-11 12:00:00,89.72127465127465,99.37680560402414,3.25
2016-04-11 12:15:00,75.8488888888889,89.0014702120362,3.25
2016-04-11 12:30:00,75.07650793650795,74.89840905302187,3.25
2016-04-11 12:45:00,75.45380952380953,76.19988610295441,3.25
2016-04-11 13:00:00,71.43095238095239,75.56630862771652,0.0
2016-04-11 13:15:00,69.09777777777778,70.91982666811295,0.0
2016-04-11 13:30:00,68.40444444444444,69.1728789066845,0.0
2016-04-11 13:45:00,71.27,68.52641557380215,0.0
2016-04-11 14:00:00,73.53026455026455,71.67130420546384,4.1
2016-04-11 14:15:00,70.12666666666668,73.54788350567401,4.1
2016-04-11 14:30:00,69.65531746031746,69.52417117036327,4.1
2016-04-11 14:45:00,78.777025012025,69.89743930403462,4.1
2016-04-11 15:00:00,86.54367965367966,79.90239699258267,16.433333333333334
2016-04-11 15:15:00,90.41041606541606,86.66770367466185,16.433333333333334
2016-04-11 15:30:00,89.2715873015873,90.189649378519,16.433333333333334
2016-04-11 15:45:00,90.94537037037038,88.79751670513897,16.433333333333334
2016-04-11 16:00:00,101.89756613756614,91.24403933765605,26.183333333333334
2016-04-11 16:15:00,84.81579365079365,103.05257950375064,26.183333333333334
2016-04-11 16:30:00,77.56156084656085,81.82629307174346,26.183333333333334
2016-04-11 16:45:00,86.46433140933141,78.1957303971934,26.183333333333334
2016-04-11 17:00:00,91.33317460317461,88.15780319631153,9.366666666666667
2016-04-11 17:15:00,67.17613756613757,91.13199922117236,9.366666666666667
2016-04-11 17:30:00,77.25807118807118,63.87866704683436,9.366666666666667
2016-04-11 17:45:00,84.5687037037037,80.57234954842362,9.366666666666667
2016-04-11 18:00:00,79.42266955266955,84.55436577066966,17.45
2016-04-11 18:15:00,69.66436507936508,78.17075617568443,17.45
2016-04-11 18:30:00,88.7150529100529,68.95537984730774,17.45
2016-04-11 18:45:00,94.12157046657047,91.83395253745688,17.45
2016-04-11 19:00:00,87.31619047619049,93.0953423629982,4.5
2016-04-11 19:15:00,80.85912698412699,86.0338429120114,4.5
2016-04-11 19:30:00,80.9316439909297,80.6878144245386,4.5
2016-04-11 19:45:00,81.12244897959184,81.505855300968,4.5
2016-04-11 20:00:00,76.921768707483,81.13877930674829,0.0
2016-04-11 20:15:00,69.16666666666667,76.40582969073202,0.0
2016-04-11 20:30:00,66.93968253968254,68.61295778032766,0.0
2016-04-11 20:45:00,68.04380952380953,67.35432584657954,0.0
2016-04-11 21:00:00,67.13452380952381,68.37010786051282,0.0
2016-04-11 21:15:00,66.67079365079366,66.92975475274724,0.0
2016-04-11 21:30:00,65.11015873015873,66.69533863729637,0.0
2016-04-11 21:45:00,66.63222222222223,64.96529875300862,0.0
2016-04-11 22:00:00,69.69976190476191,66.94982363424383,3.083333333333333
2016-04-11 22:15:00,67.05023809523809,69.93100315382026,3.083333333333333
2016-04-11 22:30:00,74.0962481962482,66.46664775164759,3.083333333333333
2016-04-11 22:45:00,70.70071428571428,75.16574049235417,3.083333333333333
2016-04-11 23:00:00,74.78243386243386,69.67994498014568,1.4166666666666667
2016-04-11 23:15:00,73.76380952380951,75.56498938105868,1.4166666666666667
2016-04-11 23:30:00,77.61365079365079,73.28518299499235,1.4166666666666667
2016-04-11 23:45:00,73.3295238095238,78.1604357230069,1.4166666666666667
2016-04-12 00:00:00,73.39111111111112,72.48312181925998,0.5333333333333333
2016-04-12 00:15:00,75.77277777777778,73.77371291011646,0.5333333333333333
2016-04-12 00:30:00,68.81111111111112,76.050423995551,0.5333333333333333
2016-04-12 00:45:00,72.81888888888889,67.77511642820531,0.5333333333333333
2016-04-12 01:00:00,70.47111111111111,73.90502668191247,0.0
2016-04-12 01:15:00,72.24555555555555,69.8410002051001,0.0
2016-04-12 01:30:00,71.17444444444443,72.66212264392944,0.0
2016-04-12 01:45:00,70.39555555555556,70.89169869753472,0.0
2016-04-12 02:00:00,71.76888888888888,70.39681936202936,0.0
2016-04-12 02:15:00,70.56333333333333,72.00032930409803,0.0
2016-04-12 02:30:00,67.30555555555556,70.29975751265326,0.0
2016-04-12 02:45:00,70.47984126984127,67.02398279343383,0.0
2016-04-12 03:00:00,67.77333333333334,71.14246362055883,0.0
2016-04-12 03:15:00,68.05888888888889,67.17361234931853,0.0
2016-04-12 03:30:00,68.37333333333332,68.3299195900929,0.0
2016-04-12 03:45:00,67.36666666666666,68.38568019333533,0.0
2016-04-12 04:00:00,64.62666666666667,67.2194884481372,0.0
2016-04-12 04:15:00,64.54666666666667,64.38920496281735,0.0
2016-04-12 04:30:00,63.41222222222222,64.77717167124152,0.0
2016-04-12 04:45:00,63.41,63.28440240308642,0.0
2016-04-12 05:00:00,64.20555555555555,63.50911577279566,0.0
2016-04-12 05:15:00,66.6711111111111,64.300299200645,0.0
2016-04-12 05:30:00,68.90079365079366,66.89445117150032,0.0
2016-04-12 05:45:00,66.27444444444444,68.94981294550334,0.0
2016-04-12 06:00:00,66.6288888888889,65.76699771096372,0.35
2016-04-12 06:15:00,66.21111111111111,66.90107059145538,0.35
2016-04-12 06:30:00,65.80666666666667,66.13040199050013,0.35
2016-04-12 06:45:00,71.90007936507936,65.79520145776544,0.35
2016-04-12 07:00:00,78.0855291005291,72.65969423410225,6.866666666666666
2016-04-12 07:15:00,84.0428379028379,78.28689283829915,6.866666666666666
2016-04-12 07:30:00,76.0576984126984,84.20903442722236,6.866666666666666
2016-04-12 07:45:00,70.2824074074074,74.58683731365151,6.866666666666666
2016-04-12 08:00:00,78.20261904761905,70.29549249725186,2.6
2016-04-12 08:15:00,82.10960317460317,79.64978864610494,2.6
2016-04-12 08:30:00,63.53142857142857,81.88016409214599,2.6
2016-04-12 08:45:00,70.78515873015873,60.98124232089773,2.6
2016-04-12 09:00:00,71.00349206349206,73.27462250174618,3.1244444444444444
2016-04-12 09:15:00,72.82777777777778,70.39400220574166,0.0
2016-04-12 09:30:00,108.38662621495024,73.0255161703529,0.0
2016-04-12 09:45:00,112.50033846048599,112.4528974065788,0.0
2016-04-12 10:00:00,122.00264722013769,109.87440669633592,0.0
2016-04-12 10:15:00,122.7916338536998,122.77167100916405,0.0
2016-04-12 10:30:00,95.07142857142857,122.05295651329136,0.0
